date,option_name,option_type,bid,ask,mid,expiration,strike,underlying,moneyness,implied_volatility,delta
2026-01-06,C_20260107_0900,call,99.74719833255529,101.76229324836447,100.75474579045988,2026-01-07,900.0,1000.0,0.9,0.9056045266957092,0.9697271674378816
2026-01-06,P_20260107_0900,put,0.6764868528891564,0.6901532539576242,0.6833200534233903,2026-01-07,900.0,1000.0,0.9,0.9056045266957092,-0.030272832562118435
2026-01-06,C_20260107_0920,call,80.59475517291267,82.22293204509273,81.4088436090027,2026-01-07,920.0,1000.0,0.92,0.8529768411722771,0.9429619712705228
2026-01-06,P_20260107_0920,put,1.3224723270320244,1.3491889396993382,1.3358306333656813,2026-01-07,920.0,1000.0,0.92,0.8529768411722771,-0.057038028729477164
2026-01-06,C_20260107_0940,call,62.08222672373338,63.33641312219263,62.709319922963005,2026-01-07,940.0,1000.0,0.94,0.8048147471797116,0.8938693355601409
2026-01-06,P_20260107_0940,put,2.6083725116376524,2.6610669058121506,2.6347197087249015,2026-01-07,940.0,1000.0,0.94,0.8048147471797116,-0.10613066443985908
2026-01-06,C_20260107_0960,call,44.80680023181871,45.7119881152898,45.259394173554256,2026-01-07,960.0,1000.0,0.96,0.7638386935745307,0.8089661358280507
2026-01-06,P_20260107_0960,put,5.131374653508236,5.2350387879225435,5.18320672071539,2026-01-07,960.0,1000.0,0.96,0.7638386935745307,-0.19103386417194934
2026-01-06,C_20260107_0980,call,29.70892193608656,30.30910217721962,30.00901205665309,2026-01-07,980.0,1000.0,0.98,0.7332087769875767,0.6780366596615954
2026-01-06,P_20260107_0980,put,9.831924991561385,10.030549738865654,9.93123736521352,2026-01-07,980.0,1000.0,0.98,0.7332087769875767,-0.32196334033840457
2026-01-06,C_20260107_1000,call,17.840601972755152,18.201018174224956,18.020810073490054,2026-01-07,1000.0,1000.0,1.0,0.7155837887558197,0.5096931062927349
2026-01-06,P_20260107_1000,put,17.76203366201514,18.12086262488413,17.941448143449634,2026-01-07,1000.0,1000.0,1.0,0.7155837887558197,-0.4903068937072651
2026-01-06,C_20260107_1020,call,9.72897196990632,9.925516858187256,9.827244414046788,2026-01-07,1020.0,1000.0,1.02,0.7118979327937285,0.33819897483388073
2026-01-06,P_20260107_1020,put,29.44883229295141,30.043758197859518,29.746295245405463,2026-01-07,1020.0,1000.0,1.02,0.7118979327937285,-0.6618010251661193
2026-01-06,C_20260107_1040,call,4.933400793914715,5.033065456418043,4.983233125166379,2026-01-07,1040.0,1000.0,1.04,0.7208615929737625,0.20066475892690439
2026-01-06,P_20260107_1040,put,44.45168975074499,45.34970368510348,44.900696717924234,2026-01-07,1040.0,1000.0,1.04,0.7208615929737625,-0.7993352410730956
2026-01-06,C_20260107_1060,call,2.4078977886524315,2.456542188423188,2.4322199885378097,2026-01-07,1060.0,1000.0,1.06,0.7396800201056432,0.11018844910251496
2026-01-06,P_20260107_1060,put,61.72461537926787,62.971577306121766,62.34809634269482,2026-01-07,1060.0,1000.0,1.06,0.7396800201056432,-0.8898115508974851
2026-01-06,C_20260107_1080,call,1.1665180236039223,1.1900840442827896,1.178301033943356,2026-01-07,1080.0,1000.0,1.08,0.7652534967911957,0.058121614906673995
2026-01-06,P_20260107_1080,put,80.28166424800476,81.90351605099475,81.09259014949976,2026-01-07,1080.0,1000.0,1.08,0.7652534967911957,-0.941878385093326
2026-01-06,C_20260107_1100,call,0.5722080429592201,0.5837678014028408,0.5779879221810305,2026-01-07,1100.0,1000.0,1.1,0.794971822466501,0.03028709929482111
2026-01-06,P_20260107_1100,put,99.48578290114511,101.49559669712784,100.49068979913648,2026-01-07,1100.0,1000.0,1.1,0.794971822466501,-0.9697129007051789
2026-01-06,C_20260108_0900,call,99.83525576155807,101.85212961532693,100.8436926884425,2026-01-08,900.0,1000.0,0.9,0.6436108455049916,0.9691878812187371
2026-01-06,P_20260108_0900,put,0.6938384140254512,0.707855351682531,0.7008468828539911,2026-01-08,900.0,1000.0,0.9,0.6436108455049916,-0.030812118781262887
